sentence,abstract_abstract,abstract_concrete,abstract_ignorance,policy_not policy,policy_policy,dynamics_not dynamics,dynamics_dynamics,valence_neutral,valence_winning,valence_losing
Then go back to the other side and move the medium blue square over the now yellow one.,-5.6624126,-0.0035817763,-inf,-0.33205214,-1.2640818,-0.010445049,-4.569756,-0.008997662,-4.7193246,-inf
"In the third game, move the orange square to the purple one, which makes it turn yellow.",-6.8079524,-0.0016644697,-8.243598,-3.8723924,-0.021039749,-0.817438,-0.582651,-0.6191859,-0.7731719,-inf
Take the medium blue square and move it over the yellow one.,-11.197869,-3.5477897e-05,-11.393954,-6.954314,-0.00096613035,-0.022771567,-3.7944944,-0.06855824,-2.714785,-inf
"In the fourth game, move to the pink square (without pushing the medium blue square), and the square turns orange.",-inf,-0.025784735,-4.0894313,-0.04196455,-3.1925879,-1.9341798,-0.15613225,-0.025045337,-3.7037735,-inf
"Move it to a purple square, which makes it turn yellow.",-8.076531,-0.00032485672,-11.742368,-5.8110185,-0.003006585,-4.499232,-0.011185163,-0.069819935,-2.697456,-inf
Now move the medium blue square over the yellow one to win points.,-10.382452,-3.6431527e-05,-inf,-0.6645311,-0.72270143,-0.63487065,-0.7550851,-9.241957,-0.00010092071,-inf
"In this game, your objective is to collect the white squares.",-2.5904305,-0.0782903,-8.525414,-0.005078753,-5.2894206,-6.7953706,-0.0011217609,-4.005425,-0.018402418,-inf
"The order that you do it in is important, though.",-0.0005577972,-inf,-7.5694513,-0.7149492,-0.67185074,-0.0002966128,-8.177442,-0.00013560164,-9.012512,-inf
"First collect the white squares that are out in the open, and not hidden by different colored squares.",-4.0778956,-0.017135307,-inf,-8.745721,-0.0001626572,-0.49868923,-0.9348236,-1.9819754,-0.14835152,-inf
"To collect the white squares that are hidden inside different colored squares, you'll need to be carrying enough white squares to ""eat"" through the different colored squares.",-0.43240136,-1.0940912,-inf,-7.0480895,-0.00087870826,-7.1428704,-0.000793782,-1.7422416,-0.19290803,-8.768889
"For example, say you collected one white square that's out in the open already, and now you need to get to another one, but there's one green block between you and it.",-0.0020941112,-7.490446,-7.4853096,-1.6286199,-0.21845025,-0.12585402,-2.1351523,-0.0046455036,-5.390664,-inf
You can use the one white square you're carrying to go through one green square.,-2.313035,-0.104355864,-inf,-2.3408823,-0.10122772,-4.5963907,-0.010146301,-0.09737805,-2.3802187,-inf
It's the same if it's two green squares - you'll need to be carrying two white squares.,-0.16629797,-7.6164207,-1.8819981,-0.46186864,-0.9946331,-0.89014703,-0.52867776,-0.0057424945,-5.174974,-inf
It's easier than it sounds!,-1.066598,-inf,-0.42253414,-1.3544423e-05,-inf,-7.9418505e-06,-inf,-0.0027253483,-5.9300494,-inf
"I didn't figure this one out, unfortunately.",-inf,-inf,-9.150362e-05,-1.6240566e-06,-inf,-1.504853e-06,-inf,-4.5599008,-inf,-0.010590032
It seems you have to use the green boxes to move the brown ones downward.,-0.045681305,-3.129761,-inf,-0.18908979,-1.7588434,-6.412338,-0.0016454301,-0.022298,-3.8197339,-inf
"You do this by standing diagonally underneath a brown box (not right under it, off to the right or left underneath it, depending on where you have room to move) - then you tap the arrow key that's pointing in the direction of the brown box.",-0.94033873,-0.56521285,-inf,-1.5865191,-0.2290229,-4.305855,-0.01359167,-0.22364804,-1.6084614,-inf
Try to cross over some of the green ones that don't have any other boxes near them.,-0.045384932,-3.139688,-7.3657775,-8.662241,-0.00017743846,-0.08398984,-2.5189893,-0.07336769,-2.6503348,-inf
"After doing this so many times, you'll know if you won when you go to the purple box and it lets you move on.",-2.8153932,-inf,-0.0648267,-0.006793529,-4.9995437,-0.18360339,-1.7856065,-4.6216526,-0.0099047115,-inf
Avoid the moving boxes!,-3.58249,-0.032471746,-5.520705,-8.482876,-0.00021128863,-0.0074485596,-4.9065537,-0.006605476,-inf,-5.033276
Use the light blue boxes to 'jump' to a different spot in the game.,-0.5991297,-0.79716015,-inf,-4.7606816,-0.008615755,-9.043008,-0.00012118533,-0.022939809,-3.7903845,-inf
"Find the medium blue box to jump to the light green box, which you'll need to win the game.",-0.4365498,-1.0405403,-inf,-5.00051,-0.006764395,-0.91427994,-0.51221085,-6.6367497,-0.0013202388,-inf
Your objective is to shoot all the squares coming out of the tubes using your spacebar.,-7.139108,-0.00081022107,-inf,-1.6154655,-0.22175063,-7.9712844,-0.00034869378,-6.9527016,-0.00096720323,-inf
"A good place to be is in the middle left, facing right (press the right arrow key after you've positioned yourself).",-0.009083669,-5.1893415,-6.0041304,-2.7237487,-0.06828071,-0.0445391,-3.1339405,-1.359388,-0.29713976,-inf
"Sometimes squares will only be coming from the top or bottom, sometimes they'll be coming out of both top and bottom.",-0.0017527721,-7.2367725,-6.9301586,-8.375538e-05,-9.494406,-6.120897,-0.0022006903,-6.2775536e-05,-9.923456,-inf
Shoot at them all until they're all gone.,-3.7453444,-0.036447678,-4.4159584,-1.6137599,-0.22215833,-0.005382453,-5.2308273,-1.6612011,-0.21103628,-8.238745
"In this game, you'll need to use the purplish-blue squares to move the light blue ones, in order to reach the brown square.",-0.0032669571,-5.768268,-inf,-4.1566253,-0.01579984,-8.456817,-0.00021617231,-3.0369222,-0.049218874,-inf
"Be careful to plan your moves right, because once you're stuck, you can't move them again.",-0.0003836021,-8.191273,-10.023634,-7.725547,-0.00044711566,-0.3278514,-1.2747508,-5.712298,-inf,-0.0033346794
Your goal in this game is to reach the medium green square.,-4.0111365,-0.018307969,-inf,-0.0009359975,-6.9969916,-8.650106,-0.00017743846,-5.9339333,-0.0026606738,-inf
"Sometimes it'll be a straight shot, but sometimes you'll need to move your arrow over all purplish-blue boxes in order to ""release"" the light green square, which will eat through other squares that might be blocking your way to your goal (medium green square).",-0.0014214262,-inf,-inf,-1.4289373,-0.27391753,-1.9584905,-0.15209404,-0.8663031,-0.54596007,-inf
"Avoid the moving yellow squares, and be careful in case the green squares might open up the orange walls that are holding the yellow squares in.",-0.0004009985,-9.738342,-inf,-6.9740005,-0.00094541087,-2.3855672,-0.09656954,-0.50879717,-7.756272,-0.9208379
"I'm not sure what the goal of this game is, unfortunately.",-inf,-inf,-9.610702e-06,-9.0883464e-07,-inf,-2.9352968e-06,-inf,-7.588794e-05,-inf,-inf
"I do know that every time I touched the light blue square, I died.",-inf,-8.115023,-0.0011996358,-0.00012976067,-9.009842,-4.2540627,-0.014314527,-12.687513,-inf,-5.9153886e-06
"Maybe the goal is to touch/cross over each green square, but I can't be sure.",-7.4261446,-inf,-0.0006511979,-1.4974867e-05,-inf,-3.88156e-05,-10.508929,-0.0010562686,-9.678049,-inf
Don't touch the orange squares.,-inf,-2.3676734e-05,-11.2696905,-7.3468766,-0.00064881385,-5.8711267,-0.0028288886,-0.12480297,-inf,-2.143474
I have no idea what to do at all here so I cannot tell you.,-inf,-inf,-2.8206474e-05,-3.650519e-06,-inf,-5.080963e-06,-inf,-4.6683042e-05,-inf,-12.013602
Make sure that you collect as many white blocks as possible.,-5.1178045,-0.006041489,-11.127326,-4.1394844,-0.016075075,-0.020617567,-3.8925943,-2.5197957,-0.08392835,-inf
I am very confused by this one so I don't have any advice to offer.,-inf,-inf,-7.314626e-05,-1.8624639e-06,-inf,-1.5332478e-05,-inf,-9.3410876e-05,-inf,-inf
I had a hard time avoiding the bouncing and moving squares!,-5.739856,-inf,-0.0038061382,-2.8160932e-06,-inf,-2.4272753e-05,-inf,-0.95350975,-inf,-0.48689598
Press the spacebar as quickly as possible.,-6.7958393,-0.0022354245,-6.897497,-0.045039717,-3.1236281,-9.8536635e-05,-9.391475,-0.06879998,-2.7121563,-inf
Eat the purple blocks in order to release the light green blocks.,-2.9431148,-0.054458126,-inf,-3.479523,-0.031336155,-7.46752,-0.00057626644,-0.78438497,-0.609874,-9.917081
I have no idea what to do here.,-inf,-inf,-3.6789137e-05,-1.0280384e-06,-inf,-1.0280384e-06,-inf,-0.0002935135,-inf,-8.6958885
"Watch out in this one the green blocks do not absorb the obstacle blocks, and you can't use two green blocks to push an obstacle block out of the way.",-0.014499235,-4.287147,-inf,-1.0061874,-0.4551716,-6.1528807,-0.002131468,-0.17361695,-8.4137125,-1.8388143
Be VERY careful not to get boxed in.,-0.0947161,-2.4064894,-8.575427,-4.516388,-0.011007503,-0.0003771688,-7.939218,-0.20805906,-inf,-1.6725996
"Push the red/pink blocks into the purple blocks, then push the blue blocks into the beige blocks that were created, ez",-4.853714,-0.017864032,-4.7764797,-4.246972,-0.014427915,-0.3797569,-1.1522083,-6.0605187,-0.0023600713,-inf
The white blocks allow you to delete one green block for each you pick up.,-1.0416447,-0.43560567,-inf,-1.1600863,-0.37615076,-6.657291,-0.0012886864,-1.5415392,-0.24100973,-inf
Make sure and pick up white blocks and then use them to carefully remove green blocks covering up other white blocks that will enable you to get to the gold block.,-0.0022903755,-7.6406226,-inf,-9.296507,-0.0001006823,-0.097037,-2.3811843,-2.700018,-0.06967162,-inf
"you need to collect green boxes so you can exit through the purple box, but the red boxes will hunt you if you eat up the light blue boxes keeping them contained, be careful about your movements",-0.0018668832,-9.46471,-inf,-7.5851693,-0.0005460034,-2.8860137,-0.057448193,-0.40021384,-2.7350144,-1.329661
"the dark green blocks kill you, do not touch them.",-11.696881,-2.7252845e-05,-11.308446,-4.9584303,-0.0070563387,-9.134203,-0.000110576206,-11.212715,-inf,-1.735894e-05
the gold/orange boxes will teleport you.,-4.5713434,-0.011048171,-7.394206,-0.046988375,-3.0821543,-8.102322,-0.00030745665,-0.031632207,-3.473992,-inf
avoid the others.,-0.44191438,-4.2569647,-1.072171,-5.3603873,-0.0047238185,-1.2590794e-05,-inf,-0.00029995048,-inf,-8.388083
the light green block is the finish line you must get to,-4.9265094,-0.007382759,-9.47362,-0.0067059007,-5.014293,-3.8399527,-0.021742094,-2.6639721,-0.07224394,-inf
Move all the way to the left FAST at the beginning.,-inf,-0.023204243,-4.7569537,-7.996521,-0.000348813,-0.015194887,-4.1951895,-0.24436933,-1.5295293,-inf
Hit one tick to the right and then spacebar repeatedly until the round ends.,-inf,-0.26902846,-1.6968944,-0.6360232,-0.7539069,-0.12151482,-2.168079,-0.48768282,-0.95252657,-9.727718
Spacebar as fast as you can.,-4.860435,-0.02086803,-4.3712306,-0.0046128766,-5.387244,-4.036525e-05,-10.598692,-0.020970995,-3.8802812,-inf
do not start moving before you've planned everything out.,-0.00043448375,-7.9771247,-inf,-9.395351,-8.76891e-05,-0.0002938711,-8.192064,-0.00046880342,-7.754108,-inf
i tried and failed.,-inf,-inf,-0.00027933193,-2.4584822e-06,-inf,-2.6968896e-06,-inf,-9.226911,-inf,-0.00012833021
"i think the best route is to somehow eliminate the two blocks directly above the brown one, going in thru the side didn't seem to work",-2.8233008,-inf,-0.06154765,-2.4143844,-0.093810454,-0.00021140782,-8.628557,-0.89516425,-0.52683234,-8.041395
Move your block into the light purple block below the light green block on the left.,-5.757286,-0.0042380737,-inf,-4.276114,-0.01401177,-0.18486921,-1.779281,-0.040064745,-3.2392988,-inf
Then quickly move down and the the right towards the dark green block before the light green block erases the orange blocks and releases the yellow blocks that will kill you.,-0.0011714138,-inf,-inf,-0.9769491,-0.47243252,-0.008940242,-4.723435,-0.46839055,-3.5773993,-1.062173
"Not sure if you even have to release the light green block, but that's what I did and I won.",-8.496198,-inf,-0.00040874677,-6.992776e-05,-9.7852125,-0.00019793781,-8.585714,-2.9293857,-0.054967366,-inf
I have no idea how to win this one.,-inf,-inf,-1.7597347e-05,-1.147242e-06,-inf,-2.1008714e-06,-inf,-0.036203165,-inf,-3.344673
"Do not let the blue block touch all green blocks and turn them into another color, i thought waiting was the way to win but you lose once it changes them all.",-4.7549286,-inf,-0.022886101,-2.04343,-0.13883385,-0.07085239,-2.683012,-9.374646,-inf,-0.000113794704
"Also, I tried hitting the light blue block before it could change them and nothing.",-inf,-inf,-0.001581282,-2.4987974e-05,-11.135468,-0.0002584786,-8.337943,-0.0013142859,-inf,-6.692049
"Maybe try letting it change them, then collecting them after it changes them.",-0.1735478,-inf,-1.8393364,-2.3581018,-0.09944058,-0.0028622968,-5.8640227,-0.030370172,-3.5136542,-inf
No guarantee though.,-3.592092,-inf,-0.028153988,-3.888926e-06,-inf,-8.418666e-06,-inf,-4.3941356e-05,-inf,-inf
Do not hit the yellow blocks!,-11.117855,-6.4802e-05,-10.287012,-9.132662,-0.00011021859,-1.7948296,-0.18172385,-4.167431,-inf,-0.015642362
You will lose a life.,-6.1367955,-0.13699971,-2.0829053,-2.2246291e-05,-11.089082,-1.2261171,-0.34737498,-11.301507,-inf,-1.9862217e-05
Do not hit the blue blocks!,-10.521634,-8.685468e-05,-10.059026,-8.0708,-0.0003155625,-1.3183615,-0.3114112,-3.526859,-inf,-0.02987082
The aim of this game is to move the purple blocks to where to blue blocks are.,-0.25858903,-1.4801085,-inf,-0.08664544,-2.4895346,-4.9356666,-0.007216965,-1.879316,-0.16575584,-10.847792
This will clear the path.,-0.0017168276,-6.5634956,-8.249603,-0.10566693,-2.3003118,-9.364929e-05,-9.396942,-0.07293049,-2.6560547,-inf
Make sure you do not push the purple blocks to the edges of the grid with no possible space to move them.,-0.0025506928,-6.001021,-inf,-8.816801,-0.0001527633,-3.627827,-0.026937809,-0.2680834,-7.387558,-1.450918
I couldnt figure out this game at all.,-inf,-inf,-2.4272753e-05,-1.7432603e-06,-inf,-2.1008714e-06,-inf,-5.268925,-inf,-0.005276092
All I figured out was to move the avatar to the white block.,-7.649804,-inf,-0.00067050155,-0.0006864602,-7.30723,-0.023574226,-3.7609055,-0.013242701,-4.3576813,-inf
It changes the block and a bar appears.,-3.1194081,-7.83215,-0.045881808,-1.4021238e-05,-inf,-0.05679676,-2.89735,-4.0007635e-05,-11.064234,-inf
"If you hit the green blocks, then you lose a life",-7.476929,-0.00063964614,-9.982558,-5.2170033,-0.005446128,-6.7293744,-0.0011984437,-10.886409,-inf,-2.58224e-05
You task is to hit all of the green blocks.,-6.8710623,-0.0014122585,-7.968318,-0.05580886,-2.9144056,-5.581467,-0.0037786972,-3.0357428,-0.049294453,-10.225709
"When the green block dissapears, the borwn block will fall.",-6.9250617,-0.0030247679,-6.251598,-0.00079104764,-7.160751,-2.5021846,-0.085474655,-0.0006765736,-8.102351,-8.037944
Make sure the brown block doesnt fall on to you or you will lose a life!,-6.178424,-0.0022956133,-8.827785,-8.723256,-0.00016659092,-3.7149806,-0.024665432,-10.45116,-inf,-4.036525e-05
I THINK the purpose of this game is to stop all of the yellow blocks turning green at the same time.,-4.9892917,-inf,-0.0068984204,-0.0002009179,-8.611903,-0.008668699,-4.7552624,-0.11828123,-2.2923877,-inf
You will NOT lose a life if you hit the red or blue blocks,-7.029916,-0.003962755,-5.8370066,-0.35518098,-1.2076457,-0.76503116,-0.6261285,-0.03235472,-3.649548,-5.175179
I do not understand this game at all.,-inf,-inf,-2.6895234e-05,-1.6240566e-06,-inf,-6.0345924e-06,-inf,-0.00015407454,-inf,-9.9454365
"All i can tell you is if you land on a blue block, you transport to another part of the board.",-4.473251,-6.426992,-0.0135227665,-0.0013309524,-6.6643767,-1.4194998,-0.2769045,-0.0019301822,-6.3796062,-8.774666
This is the easiest out of all the games as you cant lose a life.,-2.9839687,-inf,-0.05243678,-8.864273e-05,-9.513259,-0.004056198,-5.5156755,-0.22877654,-1.5911995,-7.3792815
All you have to do is move a square onto another coloured square.,-3.9647725,-0.019499961,-8.136336,-0.57224286,-0.8307973,-1.2533221,-0.3362746,-1.6679313,-0.2090785,-inf
Not all of them will match and it has to be done in a specific order but you work it out through trial and error,-2.2891505,-inf,-0.107174136,-0.00066263776,-7.3609514,-0.0008813307,-7.0566998,-0.106381744,-2.3189232,-6.0824428
I do not get this game at all at the moment.,-inf,-inf,-2.2246291e-05,-2.9352968e-06,-inf,-2.1008714e-06,-inf,-0.00023393365,-inf,-8.76574
"If you land on the green, then nothing happens.",-10.141768,-0.00029255985,-8.361934,-0.020423923,-3.9025402,-3.2383306,-0.040027287,-3.0828953e-05,-inf,-11.730825
"If you hit the light blue, you lose a life.",-9.983713,-6.49212e-05,-11.54999,-3.238769,-0.040015716,-10.441187,-3.059055e-05,-12.556101,-inf,-7.703444e-06
I dont really understand what you have to do.,-inf,-inf,-3.6669935e-05,-2.577686e-06,-inf,-3.5313153e-06,-inf,-0.000115463554,-inf,-11.512874
The light green blocks can make a path through the red blocks.,-0.058902204,-2.8623004,-inf,-1.3019896,-0.31749624,-8.657163,-0.00017636562,-1.2762259,-0.32741532,-inf
Don't let yellow blocks touch you.,-11.017795,-7.3861476e-05,-10.030517,-9.107008,-0.000114033115,-7.128554,-0.00080724835,-4.5009546,-inf,-0.011183628
push the purple blocks into the light blue blocks to get of them and free the path the destination.,-3.8482792,-0.021996817,-inf,-7.8561883,-0.00040493225,-0.9147944,-0.51193184,-1.4123778,-0.2795939,-8.436172
dont push them into a place they cant be moved from ie.,-0.08290918,-3.4980493,-3.0193639,-5.2806478,-0.005115988,-0.005576891,-5.1973076,-0.036618244,-9.88907,-3.3301878
next to a wall with no other way to get at it,-2.4139476,-inf,-0.09429874,-0.0001409658,-9.065512,-4.0007635e-05,-inf,-0.00030197695,-inf,-8.619195
get to the yellow block to win.,-8.747724,-0.0005862759,-7.938987,-0.0005232465,-7.5742745,-7.466245,-0.00057543203,-11.385827,-1.640531e-05,-inf
green blocks can get rid of pink blocks,-3.1112015,-0.048116002,-6.0609508,-1.7302176,-0.1951338,-6.781469,-0.0011400962,-0.20743527,-1.6753613,-inf
"going over a white block, then going over a green block will get rid of the green block.",-6.5530467,-0.0015483067,-9.472706,-4.5526705,-0.010607603,-5.2041817,-0.0055120457,-0.18016404,-1.8033521,-inf
getting to the yellow block is the goal.,-2.187058,-0.12066886,-6.62114,-0.0006434533,-7.3759007,-7.443246,-0.0005940204,-7.7885942,-0.000435795,-inf
"think carefully about how many green blocks you need to get through to the yellow block, then work backwards from there",-7.338466e-05,-11.147199,-inf,-10.111912,-4.7517467e-05,-0.13532735,-2.0672007,-4.110269,-0.01699198,-inf
the yellow blocks kill you,-8.251872,-0.0014428534,-6.8811865,-0.10433514,-2.312194,-7.1548166,-0.0007849719,-11.467904,-inf,-2.355753e-05
"the blocks moving across the screen, when they hit the end blocks change their colour.",-2.1883404,-0.50130767,-1.2766411,-0.00027230257,-8.259268,-6.704886,-0.0012286812,-0.00028100077,-8.438333,-10.321334
you need to run across them to change them back.,-0.1547059,-1.9876088,-5.1179266,-0.52104366,-0.9012774,-0.88935,-0.5292979,-0.004645146,-5.467883,-8.0199
keep doing that until the moving blocks stop/run out,-0.19333729,-6.673644,-1.7475995,-1.2616075,-0.3330606,-0.00375709,-5.595121,-0.058654595,-2.8812368,-7.428032
the blocks transport you.,-0.95617175,-8.120843,-0.48664168,-7.350386e-05,-10.0722,-1.891939,-0.16348062,-4.048445e-05,-inf,-inf
the moving blocks kill you,-2.720371,-0.56506705,-1.0223424,-0.0009390931,-6.9837136,-6.2974496,-0.0018524815,-11.875009,-inf,-1.4021238e-05
push the blue blocks onto yellow blocks to win.,-8.955099,-0.00013703208,-12.345686,-8.502718,-0.0002100966,-0.7892345,-0.6055492,-9.695318,-6.670925e-05,-inf
you can change the colour of some other blocks pushing them into each other as well.,-0.19897792,-1.7147994,-inf,-0.2777124,-1.4170289,-4.810057,-0.008192547,-0.048898797,-3.0444794,-inf
this will create yellow blocks,-2.2923675,-2.4074512,-0.21291102,-0.00014466111,-8.945053,-0.20479563,-1.6867464,-0.0033805454,-5.713729,-inf
the light blue block kills,-8.74488,-0.00071576954,-7.613091,-0.023417493,-3.7669802,-6.2316175,-0.0019728846,-10.6479025,-inf,-2.9875326e-05
"Your aim is to reach the darker green square, whilst avoiding all other coloured blocks.",-0.019038072,-3.9778144,-inf,-0.33350283,-1.2603388,-5.1790333,-0.005655487,-3.4610586,-0.03228663,-7.9850206
"The light green square will eat up some of the other cubes, so you might want to get to the light green square first to help you.",-0.0061211097,-5.15972,-inf,-1.9259179,-0.15757674,-5.0642457,-0.0063502383,-1.0661772,-0.4227618,-8.360594
You must get rid of the light blue boxes by pushing the dark blue boxes into them.,-4.5664544,-0.010467932,-inf,-5.327174,-0.004880062,-9.015186,-0.00012356207,-2.794253,-0.06317592,-10.634412
Your aim is to get to the brown box.,-5.9412227,-0.0031180605,-7.7390056,-9.829823e-05,-9.392274,-7.272044,-0.0007008801,-5.2781343,-0.005131527,-inf
Your aim is to reach the yellow block.,-8.707414,-0.00022642381,-10.022626,-0.00044866532,-7.744456,-7.779831,-0.00042555082,-4.0346804,-0.01786134,-inf
"You can push green blocks into red blocks to get rid of them, and pushing a green block into a pink box will just move the pink boxes.",-3.2932215,-0.041041296,-inf,-5.139188,-0.0058928877,-8.189546,-0.00028088156,-0.98250824,-0.4691568,-inf
You need to avoid going into a red box.,-7.1265388,-0.0010006555,-8.6785,-7.4308524,-0.0005966393,-5.9203773,-0.0026926517,-4.252934,-inf,-0.014349536
"By going on a white block, it allows you to destroy one green block (which may be in the way of the yellow block).",-5.5664206,-0.0039569363,-inf,-4.4680743,-0.011544892,-7.8077507,-0.0004099388,-1.1364635,-0.3872188,-inf
"As always, avoid the red block.",-9.061299,-0.00022439736,-9.333047,-4.890707,-0.007555152,-0.074103065,-2.6394374,-0.0019181683,-inf,-6.2678657
I don't actually know what I was meant to do for this game because the video play was bad....but I think you need to reach the violet square somehow,-inf,-inf,-0.00017374314,-0.0020428407,-6.204178,-0.07559418,-2.6205237,-0.034529284,-3.4364972,-inf
"The blocks will reach the bottom 5 blocks, and when they do, the stationary blockd change colour.",-2.4185605,-0.38368276,-1.476687,-0.0031684563,-5.7636533,-3.3137453,-0.03707094,-0.012234843,-5.2503767,-4.9918127
"You need to make sure that not all 5 blocks change colour at the same time, and you avoid this by going on the stationary block to change it back.",-0.0047649844,-5.772862,-inf,-4.350248,-0.013009627,-3.89624,-0.020534305,-0.13361613,-2.1693122,-4.5464005
So you must go between the row of blocks to change the colour back.,-0.027171716,-5.752357,-3.7577224,-0.052959036,-2.9651656,-0.020325925,-3.9074852,-0.0028414913,-5.903791,-9.791792
You need to get to the light green block to win.,-5.945475,-0.0031494384,-7.651047,-8.2324936e-05,-9.653233,-8.816175,-0.0001506213,-7.5192227,-0.00055148307,-inf
Some of the squares are portals to another square of the same colour.,-0.0035628923,-5.7475605,-inf,-4.2868523e-05,-10.334313,-10.344449,-3.3451433e-05,-0.00050513487,-7.661037,-inf
Avoid the moving blocks.,-3.937078,-0.021602111,-6.3160777,-8.240901,-0.00026813045,-0.02746449,-3.6095948,-0.0033898067,-inf,-5.7055306
Your aim is to get rid of some of the coloured blocks.,-0.0062251403,-5.2578254,-6.9858565,-0.03006425,-3.5204475,-0.73102623,-0.6566854,-0.53554267,-0.88076514,-9.756703
The orange and blue blocks can be pushed into the coloured blocks.,-0.62194973,-0.76991993,-inf,-3.4056783,-0.033766262,-9.082309,-0.00011510595,-0.34228405,-1.2387265,-inf
"TO get rid of purple, firstly push orange in (it'll change to yellow) and then push the blue block in and it'll disappear.",-6.048942,-0.0026697114,-inf,-6.9728184,-0.00095195614,-5.4815416,-0.0041759834,-0.6073756,-0.7871852,-inf
"For the red blocks, if you simply go next to it, and try to go into it, it'll turn yellow.",-5.0473704,-0.010859754,-5.5219417,-1.2332963,-0.34441456,-3.8478932,-0.021563137,-0.70150685,-0.6849587,-inf
"Once it's done that, push a blue block into it to make it disappear.",-6.859949,-0.0010644862,-inf,-4.488989,-0.011310591,-3.0298479,-0.049541343,-0.20837909,-1.6714642,-inf
"Sorry, can't help you with this one....the light blue block goes into the green blocks and turns them purple.",-inf,-inf,-0.0018971058,-0.004422286,-5.4321394,-0.83059096,-0.57245994,-0.025225177,-6.286137,-3.7922006
"I thought maybe you need to reach the blue block before it turns them all purple, but when I touched the light blue block I lost a life....",-8.893905,-inf,-0.00030233458,-8.299462e-06,-inf,-0.009098206,-4.7068844,-9.582232,-inf,-9.996708e-05
You are the blue block.,-inf,-0.0033137654,-5.907864,-7.255024e-05,-inf,-7.6375976,-0.0004898841,-1.1279553e-05,-inf,-inf
Your goal is to get the green point blocks.,-7.3801217,-0.00069301634,-9.823865,-0.003535329,-5.654475,-4.768258,-0.008538101,-2.8123536,-0.06196074,-inf
Avoid the moving yellow blocks and stationary orange blocks as they will kill you.,-8.045896,-0.00032879043,-12.448211,-7.1750727,-0.0007698441,-7.669301,-0.00047035306,-12.629385,-inf,-7.58424e-06
"The light-green moving blocks are safe to touch, and they will clear stationary orange blocks for you.",-0.62554914,-0.7660654,-inf,-1.9345226,-0.1561032,-6.7386484,-0.0011871341,-3.4663978,-0.031758785,-inf
Clear the purplish-bluish blocks (by moving on them) to let the light-green blocks out only if you need them to clear the stationary orange blocks for you.,-0.0025275068,-8.936838,-inf,-7.4769416,-0.0005753128,-6.50711,-0.0014967684,-0.34349972,-1.2364402,-inf
Some levels may allow you to simply avoid everything and move carefully to the green point blocks to clear the level.,-0.0004492613,-8.375649,-inf,-1.4506531,-0.26716036,-1.0596774,-0.42554307,-2.423503,-0.09284499,-inf
I don't know what the red block does as I did not have to interact with it and it was too dangerous.,-9.761879,-inf,-0.00014299227,-1.27099975e-05,-inf,-4.1318875e-05,-10.404275,-0.0022783654,-inf,-6.1302366
You are the dark-blue block.,-inf,-0.0011842768,-7.038742,-4.310693e-05,-inf,-7.789556,-0.00041935223,-1.7239736e-05,-inf,-inf
Do not touch the light-blue blocks as they will kill you.,-11.323068,-4.632543e-05,-inf,-7.8480797,-0.0003929,-9.279259,-9.5198935e-05,-13.3333645,-inf,-4.1273333e-06
Your goal is to touch the brown block.,-9.58511,-0.00032044618,-8.46529,-0.00010556965,-9.257005,-7.7757063,-0.00042423955,-7.171493,-0.00078330305,-11.624742
You can push the purple blocks by moving into them.,-2.6301632,-0.07480437,-inf,-1.4456573,-0.2687106,-8.063086,-0.0003185426,-0.0032203721,-5.7493753,-inf
"To remove the light-blue blocks, move the purple blocks onto them.",-8.090271,-0.00031317843,-inf,-7.7791214,-0.0004217363,-8.852805,-0.00014573395,-0.7806552,-0.6127723,-inf
Beware of pushing the purple blocks too far to the sides otherwise you may never be able to move them back.,-0.00044008633,-7.823976,-inf,-6.8669057,-0.001051627,-6.3022118,-0.0018365412,-1.0172997,-9.262531,-0.44907767
For some solutions you will not need to use all the purple blocks and you will not need to clear all the light blue blocks.,-0.000350955,-9.1248455,-9.329414,-2.084075,-0.13290311,-2.7332485,-0.067227185,-1.7880744,-0.1831511,-inf
This can be quite a complex puzzle but take some time to work it out before you start pushing blocks otherwise you may lock yourself in an unwinnable position.,-0.00026276626,-inf,-8.314371,-8.85756,-0.000147522,-4.406056e-05,-10.218082,-0.3647766,-1.2076874,-5.0274525
Your objective is to touch the yellow (golden) block.,-8.366125,-0.0003889663,-8.878424,-0.0009963678,-6.927478,-8.218237,-0.00027230257,-10.788437,-2.5107178e-05,-inf
You can push green blocks by moving into them.,-2.7611442,-0.06531674,-inf,-2.0186293,-0.14258409,-8.544709,-0.000197461,-0.0031594187,-5.767501,-inf
Push the green blocks into Orange (and light-blue I think) to delete them.,-4.6743007,-0.011344298,-6.322389,-6.820535,-0.0011270022,-2.3585143,-0.09935511,-0.37421173,-1.1646171,-inf
"Peach blocks can be pushed by pushing green blocks into them (yup, a block pushing a block pushing a block!).",-1.9730554,-0.15104152,-inf,-3.7382667,-0.024098163,-9.587952,-7.100059e-05,-0.07417224,-2.6394799,-inf
"Often it seems, you can avoid a lot of the green and other coloured blocks and go directly to the yellow (golden) block.",-0.005502796,-8.736511,-5.275566,-0.10803832,-2.2792077,-0.24075377,-1.5420786,-2.2000544,-0.11761297,-inf
